iter	Passed	Remaining
0	1	100
1	1	91
2	2	88
3	3	89
4	4	88
5	5	86
6	6	86
7	7	84
8	8	84
9	9	82
10	10	81
11	11	81
12	12	80
13	13	80
14	14	79
15	15	79
16	16	79
17	17	78
18	18	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	71
25	24	70
26	25	69
27	26	68
28	27	66
29	28	65
30	29	64
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	37	58
39	38	57
40	39	56
41	40	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	49
47	45	48
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	31
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	79	14
85	80	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
